schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,addd5d2d-a3b8-4451-a51f-60fc3897cf08,T1.Q1,"Please skim the article to the left; you will be answering questions about it.  How credible do you find this article, as a whole?",RADIO,WHO,,{},5,d46281ee-92f7-4294-977c-ad1d88f03448,T1.Q1.A1,Very credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,addd5d2d-a3b8-4451-a51f-60fc3897cf08,T1.Q1,"Please skim the article to the left; you will be answering questions about it.  How credible do you find this article, as a whole?",RADIO,WHO,,{},5,09971377-c3fd-47a0-b5ab-9b40c1d5c0d2,T1.Q1.A2,Fairly credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,addd5d2d-a3b8-4451-a51f-60fc3897cf08,T1.Q1,"Please skim the article to the left; you will be answering questions about it.  How credible do you find this article, as a whole?",RADIO,WHO,,{},5,a5634866-07b3-4c96-83a0-0144e9b9e589,T1.Q1.A3,Somewhat credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,addd5d2d-a3b8-4451-a51f-60fc3897cf08,T1.Q1,"Please skim the article to the left; you will be answering questions about it.  How credible do you find this article, as a whole?",RADIO,WHO,,{},5,7e86b054-8187-4f35-b53f-fc6fce98aa42,T1.Q1.A4,Not very credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,addd5d2d-a3b8-4451-a51f-60fc3897cf08,T1.Q1,"Please skim the article to the left; you will be answering questions about it.  How credible do you find this article, as a whole?",RADIO,WHO,,{},5,72f2e448-db1e-4d56-830b-19782a69d584,T1.Q1.A5,Not credible at all,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,eb8db430-2a16-43c4-90ad-2df95ca7c229,T1.Q5,Does the article make some kind of causal claim?,RADIO,NONE,,{},2,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,T1.Q5.A1,Yes,T1.Q6,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,eb8db430-2a16-43c4-90ad-2df95ca7c229,T1.Q5,Does the article make some kind of causal claim?,RADIO,NONE,,{},2,cc7471c9-d72f-4d61-a8f4-880582a2dcea,T1.Q5.A2,No,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,aa3bba18-67dd-4905-99b1-bcf00271499f,T1.Q6.A1,Correlation,"T1.Q8, T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,ef88c8fd-307e-441a-8876-9921efc67c45,T1.Q6.A2,Cause precedes effect,"T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,f8951083-f808-415b-a1dc-1e1cdd4cb944,T1.Q6.A3,The correlation appears across multiple independent contexts,"T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
